pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2
3-3Z33IC0JC20J0PR16LU4O9N59PP9VA,James slid down from the top of the roof to the fence because the _ is lower.,James slid down from the top of the roof to the fence because the _ is shorter.,_,_,14,14,fence,roof,11,8,11,8,lower,shorter,16,is,is,15,15
3-3HUR21WDDW3Q5F44ECN2BBDGX39XY2,Angela prefers to wear skirts while Amy prefers long pants. _ wears fancy brown leather shoes.,Angela prefers to wear skirts while Amy prefers long pants. _ wears dress socks and sandals.,_,_,10,10,Amy,Angela,6,0,6,0,fancy brown leather shoes,dress socks and sandals,12,wears,wears,11,11
3-3XU9MCX6VQQG7YPLCSAFDPQNHJ9R2N,"Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a muggy climate.","Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a wetter climate.",_,_,11,11,Cynthia,Mary,5,0,5,0,muggy,wetter,15,lives,lives,12,12
3-3LCXHSGDLVKK3T1EK15L50492I3ESD,The pan placed over the flame does not get hot fast enough because the _ is small.,The pan placed over the flame does not get hot fast enough because the _ is low.,_,_,14,14,flame,pan,5,1,5,1,small,low,16,is,is,15,15
3-368IUKXGA7MJDMS7M2ITY77LY086P4,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that large.,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that big.,_,_,16,16,bags,jars,9,3,9,3,large,big,19,are,are,17,17
3-3BKZLF9901D6WI3SSYSAH3HN0SJYQN,James could not hear the sound of his television over his neighbor because his _ was too busy.,James could not hear the sound of his television over his neighbor because his _ was too noisy.,_,_,14,14,neighbor,television,11,8,11,8,busy,noisy,17,was,was,15,15
3-31KPKEKW4CRMVH5I18KBUMS54RV0BW,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was cool.,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was cold.,_,_,18,18,popsicle,tea,8,5,8,5,cool,cold,20,was,was,19,19
3-3RHLQY6EDT2HFDMWE7MJ9HI9TDGD4N,"Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is high.","Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is drunk.",_,_,14,14,Emily,Katrina,7,0,7,0,high,drunk,16,is,is,15,15
3-33EEIIWHK9LPSO8NNN5QA4DTIBHVQB,The pressure of the water increased when it flowed from the tank to the pipe because the _ is smaller.,The pressure of the water increased when it flowed from the tank to the pipe because the _ is narrower.,_,_,17,17,pipe,tank,14,11,14,11,smaller,narrower,19,is,is,18,18
3-3PEG1BH7AG5O87CM51UTD67DGXSKBP,It is better to play a prank on Samuel than Craig because _ gets angry very often.,It is better to play a prank on Samuel than Craig because _ gets angry more often.,_,_,12,12,Craig,Samuel,10,8,10,8,very,more,15,gets,gets,13,13
3-32L724R85LIKCHO145FI3C9HHW7PIK,Tim decided to shave his beard instead of his head since his wife thought that his _ was more bearable.,Tim decided to shave his beard instead of his head since his wife thought that his _ was tolerable.,_,_,16,16,head,beard,9,5,9,5,more bearable,tolerable,18,was,was,17,17
3-35XW21VSVISY9ZB61NSPIVUTBGOLST,John almost emptied his gas tank while driving around the border of the new town. The _ is lengthy.,John almost emptied his gas tank while driving around the border of the new town. The _ is long.,_,_,16,16,border,tank,10,5,10,5,lengthy,long,18,is,is,17,17
3-375VSR8FVW7RJKTQH17T82CMERXRZB,The helmet will not fit on the teenager's head because the _ is extremely wide.,The helmet will not fit on the teenager's head because the _ is extremely broad.,_,_,11,11,head,helmet,8,1,8,1,wide,broad,14,is,is,12,12
3-33CLA8O0MI9LE32QGPDM5AW42L1RFJ,"Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the butler.","Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the servant.",_,_,13,13,Jeffrey,Robert,8,0,8,0,butler,servant,16,is,is,14,14
3-33CLA8O0MKP08S1X0NPMX8KDRJWRFK,James dropped the crayon on the table and it got broken. The _ is sturdy.,James dropped the crayon on the table and it got broken. The _ is hard.,_,_,12,12,table,crayon,6,3,6,3,sturdy,hard,14,is,is,13,13
3-3HJ1EVZS2QX5SGL4GSOKWZVGOV7R3V,James managed to put the file into the crack because the _ was broad enough.,James managed to put the file into the crack because the _ was wide enough.,_,_,11,11,crack,file,8,5,8,5,broad,wide,13,was,was,12,12
3-359AP8GAGGI4T8Y1G9PFSNK14URC72,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have excessive carbs.,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have more carbs.,_,_,18,18,nachos,tortillas,9,5,9,5,excessive,more,20,have,have,19,19
3-37SDSEDIN90O6JTMAHS1PRX56ZT81D,Rachel drinks a lot of milk but Kayla does not and as a result _ has very frail bones.,Rachel drinks a lot of milk but Kayla does not and as a result _ has very weak bones.,_,_,14,14,Kayla,Rachel,7,0,7,0,frail,weak,17,has,has,15,15
3-3UL5XDRDNEX2OQTCV26DKFYUBHU857,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is narrow.,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is small.,_,_,15,15,ring,finger,7,1,7,1,narrow,small,17,is,is,16,16
3-3PUV2Q8SV4210C75TMW6HVOF37MBDK,"Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer flexible surfaces.","Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer soft surfaces.",_,_,13,13,Tanya,Rachel,7,0,7,0,flexible,soft,17,happens,happens,14,14
3-3Y3CZJSZ9KRTC691AD0DJY5R8815RL,"Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be more childish.","Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be childlike.",_,_,12,12,Brett,Ian,6,0,6,0,more childish,childlike,17,is,is,13,13
3-3D4BBDG7ZJA1MEWLYVYP74WTNCO3CI,The basketball did no go through the net when it was dunked because the _ is small.,The basketball did no go through the net when it was dunked because the _ is narrow.,_,_,14,14,net,basketball,7,1,7,1,small,narrow,16,is,is,15,15
3-3IVEC1GSLPXDQ0P51LPSEH6JRUC1JO,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is very knowledgeable about custody laws.,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is more knowledgeable about custody laws.,_,_,12,12,Maria,Megan,7,0,7,0,very,more,14,is,is,13,13
3-3TD33TP5DNGIWU30TAH4JS4ICFQBAK,James could not get his new bracelet onto his wrist because the _ is too large.,James could not get his new bracelet onto his wrist because the _ is too big.,_,_,12,12,wrist,bracelet,9,6,9,6,large,big,15,is,is,13,13
3-3SX4X51T82N2FOS9XFMQPC4GI0ZOAW,The card got scratched when it was continuously dragged over the table because the _ is jagged.,The card got scratched when it was continuously dragged over the table because the _ is rough.,_,_,14,14,table,card,11,1,11,1,jagged,rough,16,is,is,15,15
3-3UYRNV2KIVD6EFZIZ22ZEWYH35P8N1,The mouse got stuck in a hole while running with a wood branch in its mouth. The _ is long.,The mouse got stuck in a hole while running with a wood branch in its mouth. The _ is wide.,_,_,17,17,wood branch,hole,11,6,11,6,long,wide,19,is,is,18,18
3-3FULMHZ7OWBZDWRGBYXMK5TCX4RM43,The flag was not blowing in the wind when it was raised on the pole. The _ was weak.,The flag was not blowing in the wind when it was raised on the pole. The _ was light.,_,_,16,16,wind,flag,7,1,7,1,weak,light,18,was,was,17,17
3-3538U0YQ1H88PQGVPXOQFAHXM8K3F3,It took the water so much time to boil while placed on the flame because the _ was small.,It took the water so much time to boil while placed on the flame because the _ was low.,_,_,16,16,flame,water,13,3,13,3,small,low,18,was,was,17,17
3-3E24UO25QZOMYXHZN4TEH9EMTJQO6F,Betty ends up with a lot more knots in her hair than Mary because _ has straight hair.,Betty ends up with a lot more knots in her hair than Mary because _ has short hair.,_,_,14,14,Mary,Betty,12,0,12,0,straight,short,16,has,has,15,15
3-3Y7LTZE0YTKJZCL7LV2YDDZ6G77ZUM,"Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is less picky.","Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is not picky.",_,_,16,16,Ian,Kenneth,11,6,11,6,less,not,18,is,is,17,17
3-3WGCNLZJKHMFH3OKBNFH3HZFC7A1DA,The wheel of the cart had gone through the space but the handle was stuck. The _ is larger.,The wheel of the cart had gone through the space but the handle was stuck. The _ is wider.,_,_,16,16,handle,wheel,12,1,12,1,larger,wider,18,is,is,17,17
3-3MD8CKRQZ11GDUNTJDG7C6C5KD7RJR,James took off his jacket on getting home and took a shower with water because he was sweating. The _ was refreshing.,James took off his jacket on getting home and took a shower with water because he was sweating. The _ was cold.,_,_,19,19,water,jacket,13,4,13,4,refreshing,cold,21,was,was,20,20
3-3JMNNNO3B3ILFU67BMKL0OY5AWMW2S,James realized the bag cannot contain the bottles so he decided to put twenty jars in it. The _ are little.,James realized the bag cannot contain the bottles so he decided to put twenty jars in it. The _ are small.,_,_,18,18,jars,bottles,14,7,14,7,little,small,20,are,are,19,19
3-3JU8CV4BRNQ92SYBMY4NF7TBHVCPO8,The flag can hardly blow when raised up in the wind because the _ is weak.,The flag can hardly blow when raised up in the wind because the _ is light.,_,_,13,13,wind,flag,10,1,10,1,weak,light,15,is,is,14,14
3-3ACRLU860PSLM7KC9FJQFBU9XJ9BEE,The cat could not climb up through the wall so it used the pillar because the _ was coarse.,The cat could not climb up through the wall so it used the pillar because the _ was rough.,_,_,16,16,pillar,wall,13,8,13,8,coarse,rough,18,was,was,17,17
3-33Q5P9PUSPKNDI47Z4HYJ7D0940CZJ,"Derrick thought the letter Logan wrote was way too formal, because _ happens to prefer using a polite style.","Derrick thought the letter Logan wrote was way too formal, because _ happens to prefer using a professional style.",_,_,11,11,Logan,Derrick,4,0,4,0,polite,professional,17,happens,happens,12,12
3-3VMHWJRYHXUK5ON99MVEMQ61SYRXFS,Mary's bag protected the cloth when she walked in the mud. The _ is intact.,Mary's bag protected the cloth when she walked in the mud. The _ is clean.,_,_,12,12,cloth,bag,4,1,4,1,intact,clean,14,is,is,13,13
3-3JVP4ZJHDR6WIPJO7ICSG9WHXE1I0Z,The cat can only jump from the floor to the table and not to the top of the shelf because the _ is large.,The cat can only jump from the floor to the table and not to the top of the shelf because the _ is tall.,_,_,21,21,shelf,table,18,10,18,10,large,tall,23,is,is,22,22
3-31SIZS5W5BTXZHR6E30G97ORZO8QRN,The cup got full when James was just emptying the bottle he bought from the store. The _ is big.,The cup got full when James was just emptying the bottle he bought from the store. The _ is large.,_,_,17,17,bottle,cup,10,1,10,1,big,large,19,is,is,18,18
3-3K3G488TR4M8UUT8HWND66JV65WQ5J,James coated the top of the table with a varnish and left the chair the way it was. Now the _ is dim.,James coated the top of the table with a varnish and left the chair the way it was. Now the _ is dull.,_,_,20,20,chair,table,13,6,13,6,dim,dull,22,is,is,21,21
3-307FVKVSYTTGSTKT7SVX1NWM1JA47V,James realized he could eat more of the apple unlike the banana because the _ is sizable.,James realized he could eat more of the apple unlike the banana because the _ is large.,_,_,14,14,banana,apple,11,8,11,8,sizable,large,16,is,is,15,15
3-3PZDSVZ3J7V5VECGNZCMXKIC1WYN44,The fountain pen cannot write smoothly on the paper because the _ is too coarse.,The fountain pen cannot write smoothly on the paper because the _ is too rough.,_,_,11,11,paper,pen,8,2,8,2,coarse,rough,14,is,is,12,12
3-3VP28W7DUPY9AJNOA4JZJBMBZKEZFL,The remaining ball of thread could crochet more sweater for the kids because the _ was miniature.,The remaining ball of thread could crochet more sweater for the kids because the _ was small.,_,_,14,14,sweater,ball,8,2,8,2,miniature,small,16,was,was,15,15
3-3XH7ZM9YX48R7IAKX1PUNCY2PKOR9E,John had to return the chair he bought for his new office as it could not get into it because the _ is confined.,John had to return the chair he bought for his new office as it could not get into it because the _ is small.,_,_,21,21,office,chair,11,5,11,5,confined,small,23,is,is,22,22
3-3H1C3QRA01HP2NDB3H3LYXCIL0XECP,"At work, Mary takes care of hamsters, but Monica doesn't; _ works in a department store.","At work, Mary takes care of hamsters, but Monica doesn't; _ works in a grocery store.",_,_,10,10,Monica,Mary,8,2,8,2,department,grocery,14,works,works,11,11
3-386T3MLZLP93TJ7BYW013K24VNU80S,Jane had the ring slide down her finger too easily because the _ is too skinny.,Jane had the ring slide down her finger too easily because the _ is too small.,_,_,12,12,finger,ring,7,3,7,3,skinny,small,15,is,is,13,13
3-3R6RZGK0XFAJ7102UZAKVSSNT34VYF,All the routine tasks at work bore Donald but Ryan is fine with them; _ happens to prefer repetition in work.,All the routine tasks at work bore Donald but Ryan is fine with them; _ happens to prefer consistency in work.,_,_,14,14,Ryan,Donald,9,7,9,7,repetition,consistency,18,happens,happens,15,15
3-3G3AJKPCXN6Z7DGUU1LXE0GI4AT4YN,Eric asked Ian if he could pass him in line at the checkout at a supermarket because _ has too many items.,Eric asked Ian if he could pass him in line at the checkout at a supermarket because _ has far more items.,_,_,17,17,Ian,Eric,2,0,2,0,too many,far more,19,has,has,18,18
3-38XPGNCKHVEI3JLPPQYD71COMD44VV,"Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is feeble.","Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is artistic.",_,_,15,15,Jason,Nick,7,0,7,0,feeble,artistic,17,is,is,16,16
3-3HA5ODM5KC6154N0FRUV54SV12XVS4,The dog could not see that the pole is behind the fence because the _ is higher.,The dog could not see that the pole is behind the fence because the _ is taller.,_,_,14,14,fence,pole,11,7,11,7,higher,taller,16,is,is,15,15
3-3PKJ68EHDPA3O09QN84DY2AZYFIJHI,The snow storm in England is less severe than the rain because the _ happens frequently.,The snow storm in England is less severe than the rain because the _ happens always.,_,_,13,13,rain,snow storm,10,1,10,1,frequently,always,15,happens,happens,14,14
3-3ZURAPD28A1CFN2G2TA7RH2ZMZ61FR,"Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a camp counselor.","Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a lifeguard.",_,_,14,14,Laura,Kayla,10,4,10,4,camp counselor,lifeguard,17,is,is,15,15
3-3TZ0XG8CBUI6VOWHEU7U4XFO4CW984,"At the house, Dennis would leave the sprinkler on unlike Neil because _ is trustworthy.","At the house, Dennis would leave the sprinkler on unlike Neil because _ is more reliable.",_,_,12,12,Neil,Dennis,10,3,10,3,trustworthy,more reliable,14,is,is,13,13
3-3WGZLY9VCJ0XS385A8OWIRMNP1N8DJ,"If you wonder whether to use ink or a pencil to do your homework, the _ is quick to fix later.","If you wonder whether to use ink or a pencil to do your homework, the _ is easier to fix later.",_,_,15,15,pencil,ink,9,6,9,6,quick,easier,17,is,is,16,16
3-3XJOUITW8W5AFW4YIS5B9MP9M8ITQD,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is lighter.","James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is smaller.",_,_,24,24,bag,box,21,3,21,3,lighter,smaller,26,is,is,25,25
3-39AYGO6AFHYJA1GU6N51UI2PWGI6N5,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was delicious.,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was sweet.,_,_,19,19,apple,mango,12,5,12,5,delicious,sweet,21,was,was,20,20
3-3O71U79SRBN3LSUKH1H4QAL9LPYSMJ,"You can use both flour and cornstarch to thicken soups, but the _ is a more bizarre kitchen ingredient.","You can use both flour and cornstarch to thicken soups, but the _ is a less common kitchen ingredient.",_,_,12,12,cornstarch,flour,6,4,6,4,more bizarre,less common,15,is,is,13,13
3-3L1EFR8WWT3FA364M8D0EPWAWYBF9Y,Christine kept badgering Monica to get her affection and attention because _ is the parent.,Christine kept badgering Monica to get her affection and attention because _ is the mother.,_,_,11,11,Monica,Christine,3,0,3,0,parent,mother,14,is,is,12,12
3-33BFF6QPI3PA0C2QFMYQJY3WFM9W3B,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants little attention.,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants less attention.,_,_,12,12,Victoria,Amy,9,0,9,0,little,less,14,wants,wants,13,13
3-3LB1BGHFL4AJOYVK92M5M8SBMJCYT3,Michael convinced Randy that his priceless glass vase was a knockoff because _ is gullible.,Michael convinced Randy that his priceless glass vase was a knockoff because _ is exploitable.,_,_,12,12,Randy,Michael,2,0,2,0,gullible,exploitable,14,is,is,13,13
3-34F34TZU7YDZ9A684N16BY4X8TA2JM,"Tanya really does not see many humans, just Laura; _ is more outgoing.","Tanya really does not see many humans, just Laura; _ is more social.",_,_,9,9,Laura,Tanya,8,0,8,0,more outgoing,more social,11,is,is,10,10
3-3JMNNNO3B126L570RO8L8QAWLUE2WC,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was tiny.,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was smaller.,_,_,16,16,chip,bar,10,5,10,5,tiny,smaller,18,was,was,17,17
3-3CRWSLD91MI3HP1YUICVY3ZHDZ4MOX,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is near.,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is closer.,_,_,20,20,quack,alarm,17,1,17,1,near,closer,22,is,is,21,21
3-3LEG2HW4UH1J48KCLXALW0C4EKU2FD,James put the egg in the refrigerator and the meat in the sun. Now the _ is warm.,James put the egg in the refrigerator and the meat in the sun. Now the _ is hot.,_,_,15,15,meat,egg,9,3,9,3,warm,hot,17,is,is,16,16
3-3YKP7CX6G2DLJ36V29TKH3EJM8W7BT,My trainer advised that both freelance job and salaried employment are great but the _ is relatively secure.,My trainer advised that both freelance job and salaried employment are great but the _ is more secure.,_,_,14,14,salaried employment,freelance job,8,5,8,5,relatively,more,16,is,is,15,15
3-3X52SWXE0ZJYDCY98F9RC17RM8DWCL,It took the food ten additional minutes to cook over the flame because the _ was too small.,It took the food ten additional minutes to cook over the flame because the _ was too weak.,_,_,14,14,flame,food,11,3,11,3,small,weak,17,was,was,15,15
3-3RWO3EJELJNO60RAGW6C3BG4PP01P8,James threw the ball into the basket but it could not enter it. The _ is very tiny.,James threw the ball into the basket but it could not enter it. The _ is very small.,_,_,14,14,basket,ball,6,3,6,3,tiny,small,17,is,is,15,15
3-3ZQA3IO31D56L0F91WTXEBBDE6T1OL,The cotton bud could not get into the ear of the hamster because the _ is small.,The cotton bud could not get into the ear of the hamster because the _ is narrow.,_,_,14,14,ear,bud,8,2,8,2,small,narrow,16,is,is,15,15
3-3NCN4N1H1IVPGDXP2EM95YOICS8BN0,Kyle handed the letter to Randy for help because _ is capable of reading.,Kyle handed the letter to Randy for help because _ is able to read.,_,_,9,9,Randy,Kyle,5,0,5,0,capable of reading,able to read,11,is,is,10,10
3-3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF,"The dog treat outweighed the drink, hence James decided to add more drink because the _ is lightweight.","The dog treat outweighed the drink, hence James decided to add more drink because the _ is lighter.",_,_,15,15,drink,treat,5,2,5,2,lightweight,lighter,17,is,is,16,16
3-36GJS3V78X4PO4EF32MVD2YXHV5GJ8,"Emily can only do 10 push ups, while Laura can do 50, so _ is stout.","Emily can only do 10 push ups, while Laura can do 50, so _ is stronger.",_,_,13,13,Laura,Emily,8,0,8,0,stout,stronger,15,is,is,14,14
3-38LRF35D5NAX88DLKMJP1AIZUGPU3L,"Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand more rarely.","Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand less often.",_,_,21,21,hands,feet,11,7,11,7,more rarely,less often,25,touch,touch,22,22
3-3WPCIUYH1CMGQN0TD6ZR9NIA3C5TDM,The child was not happy with the shoe that slipped off his leg when he was running. The _ is tiny.,The child was not happy with the shoe that slipped off his leg when he was running. The _ is small.,_,_,18,18,leg,shoe,12,7,12,7,tiny,small,20,is,is,19,19
3-329E6HTMSYGJ5C89Q8FNVN91SR43KE,"Dennis has to dig more deeply than Jeffrey to get water, because _ lives near to a water source.","Dennis has to dig more deeply than Jeffrey to get water, because _ lives close to a water source.",_,_,12,12,Jeffrey,Dennis,7,0,7,0,near to,close to,14,lives,lives,13,13
3-3HA5ODM5KAQMBFOTVTIVD64M7ZGSVZ,Making food in the slow cooker suited Tanya but not Felicia because _ works quick hours.,Making food in the slow cooker suited Tanya but not Felicia because _ works shorter hours.,_,_,12,12,Felicia,Tanya,10,7,10,7,quick,shorter,14,works,works,13,13
3-3VMV5CHJZATJ27AKFW0ZF8L7GL9GT5,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is extremely quiet.,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is too quiet.,_,_,20,20,library,cafe,15,11,15,11,extremely,too,22,is,is,21,21
3-31KPKEKW4AB71S6BHA8B2O4WEWHB0S,The old capacitor would not fit in the box because the _ is too tight.,The old capacitor would not fit in the box because the _ is too straight.,_,_,11,11,box,capacitor,8,2,8,2,tight,straight,14,is,is,12,12
3-3EGKVCRQFY6JSC139GVKMEMPFVDYBF,James finished watching the movie while on a journey to his hometown. The _ was lengthy.,James finished watching the movie while on a journey to his hometown. The _ was long.,_,_,13,13,journey,movie,8,4,8,4,lengthy,long,15,was,was,14,14
3-3DWNFENNE599COLV81KU4D1VTAWJ4W,John had to buy another ring as it would not fit the finger of his fiancee. The _ is large.,John had to buy another ring as it would not fit the finger of his fiancee. The _ is big.,_,_,17,17,finger,ring,12,5,12,5,large,big,19,is,is,18,18
3-322ZSN9Z5IY3QRH0KVYY6JO3P6N4T6,Randy runs a trash removal service and he met Kyle at the job site; _ is the homeowner.,Randy runs a trash removal service and he met Kyle at the job site; _ is the property owner.,_,_,14,14,Kyle,Randy,9,0,9,0,homeowner,property owner,17,is,is,15,15
3-3XWUWJ18TN4H72Q4Z6FQOJ8Z7YSUUM,The milk gets colder when mixed with the ice cube in the cup because the _ is cool.,The milk gets colder when mixed with the ice cube in the cup because the _ is cold.,_,_,15,15,ice cube,milk,8,1,8,1,cool,cold,17,is,is,16,16
3-3Q9SPIIRWL0AKX1BO1D066H3MG8WAL,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is brief.,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is shorter.,_,_,21,21,lawn,street,18,10,18,10,brief,shorter,23,is,is,22,22
3-3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN,Nancy preferred to eat popcorn rather than candy at the movies because the _ is sugary.,Nancy preferred to eat popcorn rather than candy at the movies because the _ is sweeter.,_,_,13,13,candy,popcorn,7,4,7,4,sugary,sweeter,15,is,is,14,14
3-3W1K7D6QSDVJX2B852X30LVQKMMZB3,Janet was able to prevent her pad from leaking her period because the _ was light.,Janet was able to prevent her pad from leaking her period because the _ was low.,_,_,13,13,period,pad,10,6,10,6,light,low,15,was,was,14,14
3-3OJX0UFJ01LJNA211VKZSNLMV7ZU93,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is tiny.,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is small.,_,_,20,20,cup,bottle,9,6,9,6,tiny,small,22,is,is,21,21
3-3VEI3XUCZTBCZ5QREQLR92YGSDDRPQ,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is smoky.,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is opaque.,_,_,21,21,board,plate,14,11,14,11,smoky,opaque,23,is,is,22,22
3-3CRWSLD91MI3HP1YUICVY3ZHE1HOMH,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is small.,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is short.,_,_,16,16,Brian,Leslie,13,0,13,0,small,short,18,is,is,17,17
3-3W9XHF7WGKT9A47WLP9EL2PRYZWKT2,I cannot forgive the hurt he made me feel as much as I love him because the _ is too little.,I cannot forgive the hurt he made me feel as much as I love him because the _ is too weak.,_,_,17,17,love,hurt,13,4,13,4,little,weak,20,is,is,18,18
3-3FDWKV9VCPGYUULVQ4O4X9R6WN5MUS,"Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat much less sugar.","Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat barely any sugar.",_,_,15,15,Joel,Jeffrey,10,0,10,0,much less,barely any,20,is,is,16,16
3-33CLA8O0MKP08S1X0NPMX8KDSL8FRP,The toilet is worse than my wife's closet because the _ is a wide space.,The toilet is worse than my wife's closet because the _ is a huge space.,_,_,10,10,closet,toilet,7,1,7,1,wide,huge,13,is,is,11,11
3-3UQVX1UPFSFDDF6FYHF01V1SF7V02Z,"Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is left behind by new trends.","Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is not aware of new trends.",_,_,11,11,Jennifer,Samantha,7,4,7,4,left behind by,not aware of,13,is,is,12,12
3-3ABAOCJ4RAI621EE9V4ZN8UHTXTQMB,We cannot see the letters written on the red shirt but we can see the numbers because the _ are gray.,We cannot see the letters written on the red shirt but we can see the numbers because the _ are white.,_,_,18,18,numbers,letters,15,4,15,4,gray,white,20,are,are,19,19
3-39O0SQZVJPLNTZMRI4RA9G7WTXTR70,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is moist.,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is wet.,_,_,22,22,soil,bowl,17,10,17,10,moist,wet,24,is,is,23,23
3-38VTL6WC4CRH3WKU8647JSMX5A7Y5G,"Although broccoli and steak can both be part of a healthy diet, the _ has insufficient antioxidants.","Although broccoli and steak can both be part of a healthy diet, the _ has fewer antioxidants.",_,_,13,13,steak,broccoli,3,1,3,1,insufficient,fewer,15,has,has,14,14
3-338GLSUI45PC971AFCPRNIP9D67SF7,I selected the hammer instead of the mallet as my tool choice since the _ is massive and I'm out of shape.,I selected the hammer instead of the mallet as my tool choice since the _ is heavier and I'm out of shape.,_,_,14,14,mallet,hammer,7,3,7,3,massive,heavier,16,is,is,15,15
3-33QQ60S6AUW1RGEO1Z16ZCKTSEM0U0,The trumpet had to be blown into the mic to be as audible as the drum because the _ was overwhelming.,The trumpet had to be blown into the mic to be as audible as the drum because the _ was louder.,_,_,18,18,drum,trumpet,15,1,15,1,overwhelming,louder,20,was,was,19,19
